"id","title","publication_date","description","channel_id","channel_title","viewCount","likeCount","favoriteCount","commentCount","url"
"_1S6lmft6I8","[Two Kids Room(투키즈룸)] VOL.2 Ep.04 HAN X Felix","2018-11-03T12:01:10Z","[Two Kids Room(투키즈룸)] VOL.2 Ep.04 한 X 필릭스 (HAN X Felix)

Stray Kids 3RD MINI ALBUM ""I am YOU""
iTunes & Apple Music: https://goo.gl/EVjVvM
Spotify: https://goo.gl/mKkfTJ

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official Fan's: https://fans.jype.com/StrayKids

#StrayKids #스트레이키즈
#IamYOU
 
Copyrights 2018 ⓒ JYP Entertainment. All Rights Reserved.","UC9rMiEjNaCSsebs31MRDCRA","Stray Kids","518376","41694","0","801","https://www.youtube.com/watch?v=_1S6lmft6I8"
"_8yW_GC40-w","[SKZ SONG CAMP] Howl in Harmony | Teaser Video","2021-07-05T10:59:57Z","[SKZ SONG CAMP] Howl in Harmony | Teaser Video 

Stray Kids Digital Single ""Mixtape : 애"" 
iTunes & Apple Music: https://apple.co/3dc63xQ
Spotify: https://spoti.fi/3qykdyY

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Instagram: https://www.instagram.com/realstraykids/
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official Fan's: https://fans.jype.com/StrayKids

#StrayKids​ #SKZSONGCAMP
#HowlinHarmony #스트레이키즈​
#YouMakeStrayKidsStay​ 

Copyrights 2021 ⓒ JYP Entertainment. All Rights Reserved.","UC9rMiEjNaCSsebs31MRDCRA","Stray Kids","1231218","289624","0","12725","https://www.youtube.com/watch?v=_8yW_GC40-w"
"_HclYiIuxUk","Ep.04 GROUP TALK | [SKZ SONG CAMP] Howl in Harmony","2021-07-28T10:59:57Z","Ep.04 GROUP TALK | [SKZ SONG CAMP] Howl in Harmony

✨ English, Japanese, Chinese, Spanish, Indonesian & Thai subtitles are available! 

Stray Kids Digital Single ""Mixtape : 애"" 
iTunes & Apple Music: https://apple.co/3dc63xQ
Spotify: https://spoti.fi/3qykdyY

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Instagram: https://www.instagram.com/realstraykids/
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official Fan's: https://fans.jype.com/StrayKids

#StrayKids​ #SKZSONGCAMP
#HowlinHarmony #2021STAYweeK
#스테이위크 #스트레이키즈
#YouMakeStrayKidsStay​ 

Copyrights 2021 ⓒ JYP Entertainment. All Rights Reserved.","UC9rMiEjNaCSsebs31MRDCRA","Stray Kids","1878916","194551","0","6879","https://www.youtube.com/watch?v=_HclYiIuxUk"
"_Lo6_GNtBa4","[One Kid's Room(원키즈룸)] Ep.05 Felix","2020-01-08T12:59:58Z","[One Kid's Room(원키즈룸)] Ep.05 필릭스 (Felix)

Stray Kids Digital Single ""Mixtape : Gone Days"" 
iTunes & Apple Music: https://apple.co/2MwpDYl
Spotify: https://spoti.fi/2ZoPwOY

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official Fan's: https://fans.jype.com/StrayKids

#StrayKids #스트레이키즈
#Clé_LEVANTER
#바람 #Levanter
#Mixtape_GoneDays
#YouMakeStrayKidsStay

Copyrights 2020 ⓒ JYP Entertainment. All Rights Reserved.","UC9rMiEjNaCSsebs31MRDCRA","Stray Kids","1206863","93854","0","1983","https://www.youtube.com/watch?v=_Lo6_GNtBa4"
"_mR4IgEjM48","[SPOT KIDS : BLACK] FM.9 황냥이와 함께하는 특별MC 지성의 안보이는 라디오!","2018-07-17T09:26:37Z","[SPOT KIDS : BLACK] FM.9 황냥이와 함께하는 특별MC 지성의 안보이는 라디오!

Stray Kids DEBUT ALBUM ""I am NOT""
Spotify: http://goo.gl/sWyikd
iTunes & Apple Music: https://goo.gl/B3pbMT

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official Fan's: https://fans.jype.com/StrayKids

#StrayKids #스트레이키즈
#IamNOT
#District9

Copyrights 2018 ⓒ JYP Entertainment. All Rights Reserved.","UC9rMiEjNaCSsebs31MRDCRA","Stray Kids","245055","30892","0","1131","https://www.youtube.com/watch?v=_mR4IgEjM48"
"_oCptmj2gIQ","Changbin (Feat. Bang Chan) ""Streetlight"" | [Stray Kids : SKZ-PLAYER]","2020-05-16T14:59:53Z","창빈(Changbin) (Feat. 방찬(Bang Chan)) ""Streetlight"" | [Stray Kids(스트레이 키즈) : SKZ-PLAYER(슼즈 플레이어)]

[Changbin's Comment]
“Streetlight”은 붐뱁 힙합 트랙 위에 
남들에게 말하지 못하고 혼자 아파하고 슬퍼하면서, 아닌 척 웃는 사람에 대한 내용을 
가로등에 비유하여 가사로 풀어낸 곡입니다. 
누군가에게 고민 상담을 하면, 상대방이 다 해결해 줄 순 없지만 털어놓는 것만으로도 한결 마음이 편해지곤 합니다. 
사실 저도 이 곡을 쓰기 전에 정말 누구에게도 말 못 하고 혼자 힘들어할 때가 있었는데 
가사를 써 내려가고 녹음을 하면서 누군가에게 털어놓은 것 같은 후련함을 느꼈습니다.
이 노래를 듣는 분들도 꼭 같이 아파해줄, 내 얘기를 들어줄 누군가를 찾으셨으면 좋겠습니다.

[Credits]
Lyrics by : 창빈 (3RACHA)
Composed by : 창빈 (3RACHA), 방찬 (3RACHA)
Arranged by : 방찬 (3RACHA)
Original Publisher : JYP Publishing (KOMCA)

[Changbin (Feat. Bang Chan) ""Streetlight"" Lyrics]
가로등 불빛처럼
가로등 불빛처럼

쓸쓸한 하루 끝에서
우두커니 선 채로
고독한 밤 한가운데
애써 밝게 웃어본다

티 내고 싶지 않아 나약해 빠진 내 모습
날 의지했던 그들에겐 이 모습은 모순
강한 척 안 아픈 척 아무렇지 않은 척
그저 누군가에게 힘이 되고 싶은 난데
나로 인해 그들의 힘을 빼면 안 돼
“기대도 돼”란 말에 물음표를 붙일 용기가 없어 난
아픔은 나갈 문이 없는 방 안에서 갇힌 채로 소리 없이 커져가 
참을 만큼 참아보니 무뎌지더라
아직 견딜만한가 봐 참아지니까 
상처 위의 밴드는 결국 떨어지기 마련
급히 붙이긴 했는데 얼마 못 가 다시 까져
헐어버린 지붕 위로 쌓여가는 빗물은
내 빈틈을 어찌나 잘 아는지 새고 새길 반복
누군가 필요해 모두 무너지기 전에
다시 물어봐 줘 괜찮냐고 어느 누구라도 

가로등 불빛처럼
가로등 불빛처럼
외로운 밤 한가운데
그저 밝아 보이는 나

쓸쓸한 하루 끝에서
또 우두커니 선 채로
고독한 밤 한가운데
애써 밝게 웃어본다

아무것도 의지하지 못해
스스로 나 자신만을 의지하길 선택
그러던 내가 흔들리고 있는 지금 난 
대체 누구를 붙잡아야 하는 걸까
전에 내가 손 올렸던 어깨 앞에
그보다 더 축 처져 버린 내 어깨는 who cares
털어놓질 못해 다 털어놓질 못해
털어내지 못한 아픔은 결국 
내 자신을 탓해
탁한 공기 속에 숨을 들이켜다 보면 
불쾌함을 넘어 숨이 넘어갈 듯 헐떡거려
아무것도 아닌 말도 괜히 신경 쓰게 돼
아무것도 아닌 것도 아무렇지 않지 않아
주변의 시선 날 향한 것도 아닌데
따갑게 느껴져
감췄던 표정 잠깐 망보다가 들켜 드러나게 될까
두려워 그래 나 두려워

가로등 불빛처럼
가로등 불빛처럼

쓸쓸한 하루 끝에서
우두커니 선 채로
고독한 밤 한가운데
애써 밝게 웃어본다

저 가로등 불빛처럼
가로등 불빛처럼
외로운 밤 한가운데
그저 밝아 보이는 나

쓸쓸한 하루 끝에서
또 우두커니 선 채로
고독한 밤 한가운데
애써 밝게 웃어본다

가로등 불빛처럼
가로등 불빛처럼
외로운 밤 한가운데
그저 밝아 보이는 나

쓸쓸한 하루 끝에서
또 우두커니 선 채로
고독한 밤 한가운데
애써 밝게 웃어본다

Stray Kids Single ""TOP""
iTunes & Apple Music: https://apple.co/2Z0I8ey
Spotify: https://spoti.fi/35Zbvzh

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Instagram: https://www.instagram.com/realstraykids/
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official Fan's: https://fans.jype.com/StrayKids

#StrayKids #Changbin #Streetlight
#스트레이키즈 #창빈
#BangChan #방찬
#TOP #SLUMP
#YouMakeStrayKidsStay

Copyrights 2020 ⓒ JYP Entertainment. All Rights Reserved.","UC9rMiEjNaCSsebs31MRDCRA","Stray Kids","8118563","515723","0","44005","https://www.youtube.com/watch?v=_oCptmj2gIQ"
"_oK3hXWhNMg","Stray Kids ""Mirror"" Dance Practice (Part Switch Ver.)","2018-05-04T11:59:46Z","Stray Kids ""Mirror"" Dance Practice (Part Switch Ver.)

Stray Kids DEBUT ALBUM ""I am NOT""
Spotify: http://goo.gl/sWyikd
iTunes & Apple Music: https://goo.gl/B3pbMT

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official Fan's: https://fans.jype.com/StrayKids

#StrayKids #스트레이키즈
#IamNOT
#District9

Copyrights 2018 ⓒ JYP Entertainment. All Rights Reserved.","UC9rMiEjNaCSsebs31MRDCRA","Stray Kids","933483","81841","0","3062","https://www.youtube.com/watch?v=_oK3hXWhNMg"
"_xpStcB8__A","Stray Kids ""I am YOU"" M/V Behind Video","2018-11-04T12:00:06Z","Stray Kids(스트레이 키즈) ""I am YOU"" M/V Behind Video

Stray Kids 3RD MINI ALBUM ""I am YOU""
iTunes & Apple Music: https://goo.gl/EVjVvM
Spotify: https://goo.gl/mKkfTJ

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official Fan's: https://fans.jype.com/StrayKids

#StrayKids #스트레이키즈
#IamYOU
 
Copyrights 2018 ⓒ JYP Entertainment. All Rights Reserved.","UC9rMiEjNaCSsebs31MRDCRA","Stray Kids","1200083","118717","0","3451","https://www.youtube.com/watch?v=_xpStcB8__A"
"_z-MPuOIBoM","Stray Kids ""CASE 143"" Performance Video","2022-10-14T14:59:55Z","Stray Kids(스트레이 키즈) ""CASE 143"" Performance Video

💗Listen to ＜MAXIDENT＞ now!
⚡http://Stray-Kids.lnk.to/MAXIDENT 

Stray Kids ""MAXIDENT""
iTunes & Apple Music: https://stray-kids.lnk.to/MAXIDENT/AppleMusic
Spotify: https://stray-kids.lnk.to/MAXIDENT/Spotify

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Instagram: https://www.instagram.com/realstraykids/
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official TikTok: https://www.tiktok.com/@jypestraykids
Stray Kids Official Fan's: https://fans.jype.com/StrayKids

#StrayKids #스트레이키즈
#CASE143
#MAXIDENT
#StrayKidsComeback
#YouMakeStrayKidsStay

Copyrights 2022 ⓒ JYP Entertainment. All Rights Reserved.","UC9rMiEjNaCSsebs31MRDCRA","Stray Kids","6738601","561264","0","9496","https://www.youtube.com/watch?v=_z-MPuOIBoM"
"-9XS5sDgIcM","Stray Kids ""I am YOU"" Performance Video","2018-10-31T09:00:06Z","Stray Kids(스트레이 키즈) ""I am YOU"" Performance Video

Stray Kids 3RD MINI ALBUM ""I am YOU""
iTunes & Apple Music: https://goo.gl/EVjVvM
Spotify: https://goo.gl/mKkfTJ

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official Fan's: https://fans.jype.com/StrayKids

#StrayKids #스트레이키즈
#IamYOU
 
Copyrights 2018 ⓒ JYP Entertainment. All Rights Reserved.","UC9rMiEjNaCSsebs31MRDCRA","Stray Kids","4504115","227454","0","4740","https://www.youtube.com/watch?v=-9XS5sDgIcM"
